ID,电影名称,评分,评价人数,短评数量,影评数量,片长,语言,类型,导演,制片国家/地区,上映日期,看过人数,想看人数,星级,五星,四星,三星,二星,一星
11177,马达加斯加3 Madagascar 3: Europe's Most Wanted,8.2,171448,47175,326,93,英语,喜剧/动画/冒险,康拉德·弗农,美国,2012-06-08,298354,37035,4.0,0.318,0.49200000000000005,0.177,0.011000000000000001,0.002
11178,一个字头的诞生 一個字頭的誕生,8.3,54248,14034,153,90,粤语,喜剧/动作/犯罪,韦家辉,中国香港,1997-03-14,68062,57666,4.0,0.341,0.48,0.158,0.017,0.004
11179,功夫熊猫2 Kung Fu Panda 2,8.1,434011,83638,1007,91,英语,喜剧/动作/动画/冒险,吕寅荣,美国,2011-05-28,760643,39501,4.0,0.264,0.513,0.207,0.013000000000000001,0.002
11180,完美陌生人(西班牙版) Perfectos desconocidos,8.4,67599,10689,53,97,西班牙语,喜剧,艾利克斯·德·拉·伊格莱希亚,意大利,2017-12-01,147899,78798,4.0,0.35200000000000004,0.49700000000000005,0.139,0.009000000000000001,0.002
11181,神偷奶爸2 Despicable Me 2,8.1,428045,79098,240,99,英语,喜剧/动画/冒险,皮埃尔·柯芬,美国,2014-01-10,875995,51616,4.0,0.29100000000000004,0.49200000000000005,0.2,0.013999999999999999,0.002
11182,回魂夜,8.1,230390,35934,152,82,粤语,喜剧/恐怖/奇幻,刘镇伟,中国香港,1995-07-06,331788,34796,4.0,0.322,0.44799999999999995,0.203,0.021,0.005
11183,大坏狐狸的故事 Le Grand Méchant Renard et autres contes...,8.3,92376,35186,277,83,法语,喜剧/动画/冒险,本杰明·雷内,法国,2018-03-16,156391,116426,4.0,0.34,0.496,0.156,0.006999999999999999,0.002
11184,鹿鼎记2：神龙教 鹿鼎記II 神龍教,8.1,220736,20118,53,98,粤语,喜剧/动作/武侠/古装,王晶,中国香港,1992-09-24,340287,20763,4.0,0.302,0.47100000000000003,0.21100000000000002,0.013000000000000001,0.002
11185,南极料理人 南極料理人,8.3,84561,27621,235,125,日语,喜剧,冲田修一,日本,2009-08-08,108010,56757,4.0,0.32299999999999995,0.509,0.157,0.01,0.002
11186,憨豆的黄金周 Mr. Bean's Holiday,8.2,130068,18271,232,90,英语,喜剧,史蒂夫·班德莱克,英国,2007-07-27,224524,19113,4.0,0.317,0.479,0.18600000000000003,0.015,0.002
